Symptom,weight
abnormal_menstruation,4
painful_menstruation,3
spotting_between_periods,3
vaginal_odor,2
infertility,5
pelvic_pain,2
swollen_vulva,4
breast_pain,3
nipple_discharge,1
itching,1
skin_rash,1
nodal_skin_eruptions,2
skin_peeling,2
small_dents_in_nails,1
inflammatory_nails,2
blister,3
red_sore_around_nose,1
yellow_crust_ooze,1
acne,1
eczema,4
psoriasis,4
hives,2
warts,2
fungal_infections,2
skin_lesions,3
mole_changes,1
skin_discoloration,4
hair_loss,2
excessive_sweating,2
vitiligo,5
continuous_sneezing,2
patches_in_throat,1
phlegm,1
throat_irritation,3
sinus_pressure,2
runny_nose,1
congestion,1
ear_pain,3
hearing_loss,5
vertigo,5
ear_discharge,3
nasal_bleeding,3
difficulty_swallowing,2
enlarged_lymph_nodes_in_neck,2
hoarseness_of_voice,1
snoring,1
sleep_apnea,4
blurry_vision,3
double_vision,3
eye_pain,1
eye_redness,1
light_sensitivity,2
watery_eyes,1
eye_strain,1
difficulty_focusing,2
changes_in_color_vision,5
eyelid_swelling,3
drooping_eyelid,5
squinting,5
frequent_headaches,2
visual_disturbances,3
night_blindness,1
dry_eyes,1
itching_eyes,1
burning_sensation_in_eyes,2
joint_swelling,3
joint_stiffness,2
limited_range_of_motion,1
joint_instability,4
clicking_or_popping_in_joints,1
locking_of_joints,4
muscle_cramps,1
muscle_spasms,2
difficulty_walking,3
difficulty_using_limbs,5
bow_legs,5
knock_knees,5
bone_deformities,5
reduced_mobility,1
joint_dislocation,5
joint_inflammation,2
muscle_tenderness,3
joint_warmth,3
joint_weakness,3
toothache,2
tooth_sensitivity,3
swollen_gums,4
bleeding_gums,4
receding_gums,4
bad_breath,1
dry_mouth,1
loose_teeth,2
tooth_discoloration,2
tooth_decay,4
cavities,4
mouth_sores,2
jaw_pain,2
clicking_or_popping_jaw,1
difficulty_chewing,5
teeth_grinding (bruxism),5
impacted_teeth,5
oral_ulcers,4
tongue_problems,3
fever,3
fatigue,2
headache,2
nausea,3
vomiting,3
diarrhea,5
abdominal_pain,4
chest_pain,5
cough,3
shortness_of_breath,2
dizziness,3
swelling,3
weight_changes,4
changes_in_appetite,3
sleep_changes,5
mood_swings,1
bruising,2
high_fever,5
chills,2
